ID,Тип,Категорія,Сума,Валюта,Дата,Коментар,Створено,Оновлено
cmp202605010001,Дохід,Зарплата,28000,UAH,2026-05-01,Аванс за травень,2026-05-01T08:15:22.000Z,2026-05-01T08:15:22.000Z
cmp202605010002,Витрати,Продукти,1240,UAH,2026-05-01,Закупи в супермаркеті,2026-05-01T18:42:11.000Z,2026-05-01T18:42:11.000Z
cmp202605020001,Витрати,Транспорт,220,UAH,2026-05-02,Поповнення транспортної картки,2026-05-02T07:55:03.000Z,2026-05-02T07:55:03.000Z
cmp202605020002,Витрати,Кафе,185,UAH,2026-05-02,Кава та сендвіч,2026-05-02T12:21:44.000Z,2026-05-02T12:21:44.000Z
cmp202605020003,Витрати,Розваги,320,UAH,2026-05-02,Квиток у кіно,2026-05-02T20:08:10.000Z,2026-05-02T20:08:10.000Z
cmp202605030001,Витрати,Продукти,760,UAH,2026-05-03,Покупки на вихідні,2026-05-03T11:09:27.000Z,2026-05-03T11:09:27.000Z
cmp202605030002,Витрати,Здоров'я,410,UAH,2026-05-03,Аптека та вітаміни,2026-05-03T16:17:53.000Z,2026-05-03T16:17:53.000Z
cmp202605040001,Витрати,Комунальні,2650,UAH,2026-05-04,Оплата комунальних послуг,2026-05-04T09:33:48.000Z,2026-05-04T09:33:48.000Z
cmp202605040002,Витрати,Інтернет,300,UAH,2026-05-04,Оплата домашнього інтернету,2026-05-04T09:40:12.000Z,2026-05-04T09:40:12.000Z
cmp202605050001,Дохід,Фриланс,4200,UAH,2026-05-05,Оплата за дизайн банера,2026-05-05T14:05:36.000Z,2026-05-05T14:05:36.000Z
cmp202605050002,Витрати,Кафе,260,UAH,2026-05-05,Обід у місті,2026-05-05T14:22:01.000Z,2026-05-05T14:22:01.000Z
cmp202605050003,Витрати,Покупки,1499,UAH,2026-05-05,Нові кросівки,2026-05-05T19:18:44.000Z,2026-05-05T19:18:44.000Z
cmp202605060001,Витрати,Транспорт,340,UAH,2026-05-06,Таксі після роботи,2026-05-06T21:07:29.000Z,2026-05-06T21:07:29.000Z
cmp202605060002,Витрати,Продукти,680,UAH,2026-05-06,Фрукти та снеки,2026-05-06T21:22:15.000Z,2026-05-06T21:22:15.000Z
cmp202605070001,Витрати,Освіта,950,UAH,2026-05-07,Онлайн курс з аналітики,2026-05-07T10:12:05.000Z,2026-05-07T10:12:05.000Z
cmp202605070002,Витрати,Мобільний зв'язок,200,UAH,2026-05-07,Поповнення мобільного,2026-05-07T10:18:39.000Z,2026-05-07T10:18:39.000Z
cmp202605080001,Дохід,Повернення коштів,540,UAH,2026-05-08,Повернення за скасоване замовлення,2026-05-08T13:27:54.000Z,2026-05-08T13:27:54.000Z
cmp202605080002,Витрати,Розваги,450,UAH,2026-05-08,Настільна гра для вечора,2026-05-08T18:03:12.000Z,2026-05-08T18:03:12.000Z
cmp202605090001,Витрати,Продукти,1580,UAH,2026-05-09,Велика закупівля на тиждень,2026-05-09T10:41:26.000Z,2026-05-09T10:41:26.000Z
cmp202605090002,Витрати,Дім,720,UAH,2026-05-09,Побутова хімія та лампочки,2026-05-09T12:56:50.000Z,2026-05-09T12:56:50.000Z
cmp202605100001,Дохід,Премія,3000,UAH,2026-05-10,Премія за виконання плану,2026-05-10T09:11:14.000Z,2026-05-10T09:11:14.000Z
cmp202605100002,Витрати,Хобі,890,UAH,2026-05-10,Покупка нових книг,2026-05-10T09:30:47.229Z,2026-05-10T09:30:47.229Z
cmp202605100003,Витрати,Кафе,310,UAH,2026-05-10,Сніданок у кав'ярні,2026-05-10T11:02:08.000Z,2026-05-10T11:02:08.000Z
cmp202605110001,Витрати,Здоров'я,750,UAH,2026-05-11,Консультація стоматолога,2026-05-11T15:49:31.000Z,2026-05-11T15:49:31.000Z
cmp202605110002,Витрати,Подарунки,600,UAH,2026-05-11,Подарунок другу на день народження,2026-05-11T19:26:17.000Z,2026-05-11T19:26:17.000Z
cmp202605120001,Витрати,Продукти,1500,UAH,2026-05-12,Продукти на тиждень,2026-05-12T09:30:21.553Z,2026-05-12T09:31:07.007Z
cmp202605120002,Дохід,Підробіток,1800,UAH,2026-05-12,Оплата за консультацію,2026-05-12T18:14:42.000Z,2026-05-12T18:14:42.000Z
